InventoryID,InventoryDate,Year,Month,PartID,PartName,PartCode,PartCategory,PartDescription,SupplierID,SupplierName,SupplierCity,SupplierCountry,SupplierRating,WarehouseID,WarehouseName,WarehouseLocation,WarehouseCity,QuantityOnHand,QuantityReserved,QuantityDamaged,AvailableQuantity,ReorderLevel,ReorderQuantity,LeadTimeDays,UnitCost,TotalCost,SupplierLeadTime,ReceiveDate,InvoiceNumber,InvoiceAmount,Status,ExpiryDate,StorageLocation,LastStockUpdate,Notes
INV00000002,26-07-2024,2024,3,PART000003,Part 3,PC239745,Subassembly,Essential component Part 3,SUP0003,Supplier 3,Bangalore,India,4.86,WH03,Warehouse 3,East,Bangalore,11185,3884,386,6915,1871,16431,10,833.87,5766211.05,88,24-01-2024,INV559364,82099.11,Out of Stock,17-02-2025,Rack-85,15-09-2024,"Stock level: 11185 units, Supplier rating: 4.86"
INV00000003,16-04-2024,2024,9,PART000004,Part 4,PC352064,Tool,Essential component Part 4,SUP0004,Supplier 4,Pune,India,2.89,WH04,Warehouse 4,West,Pune,18219,16387,112,1720,2389,18245,36,732.73,1260295.6,61,23-11-2024,INV956827,49124.97,Discontinued,17-02-2025,Rack-49,26-01-2024,"Stock level: 18219 units, Supplier rating: 2.89"
INV00000004,21-04-2024,2024,1,PART000005,Part 5,PC873069,Packaging,Essential component Part 5,SUP0005,Supplier 5,Hyderabad,India,3.46,WH05,Warehouse 5,Central,Hyderabad,37645,8882,239,28524,3616,10370,5,565.97,16143728.28,54,01-07-2024,INV484607,22223.49,On Order,17-02-2025,Rack-86,12-04-2024,"Stock level: 37645 units, Supplier rating: 3.46"
INV00000005,10-05-2024,2024,10,PART000006,Part 6,PC627010,Raw Material,Essential component Part 6,SUP0006,Supplier 6,Chennai,India,2.72,WH06,Warehouse 6,North,Chennai,28007,21658,286,6063,4263,558,31,701.93,4255801.59,74,11-06-2024,INV225654,40872.12,Available,17-02-2025,Rack-30,23-08-2024,"Stock level: 28007 units, Supplier rating: 2.72"
INV00000006,18-05-2024,2024,3,PART000007,Part 7,PC173736,Component,Essential component Part 7,SUP0007,Supplier 7,Kolkata,India,2.45,WH07,Warehouse 7,South,Kolkata,9788,9353,326,109,2918,6651,6,313.05,34122.45,14,15-11-2024,INV788030,94939.92,Low Stock,17-02-2025,Rack-17,14-01-2024,"Stock level: 9788 units, Supplier rating: 2.45"
INV00000007,13-10-2024,2024,5,PART000008,Part 8,PC339696,Subassembly,Essential component Part 8,SUP0008,Supplier 8,Jaipur,India,2.35,WH08,Warehouse 8,East,Jaipur,44826,2061,448,42317,4487,3728,39,625.95,26488326.15,90,06-03-2024,INV745818,10327.64,Out of Stock,13-02-2025,Rack-100,07-01-2024,"Stock level: 44826 units, Supplier rating: 2.35"
INV00000008,08-02-2024,2024,10,PART000009,Part 9,PC176906,Tool,Essential component Part 9,SUP0009,Supplier 9,Mumbai,India,4.5,WH09,Warehouse 9,West,Mumbai,18255,632,408,17215,3994,11763,8,124.72,2147054.8,28,20-07-2024,INV713948,7545.1,Discontinued,13-02-2025,Rack-59,24-12-2024,"Stock level: 18255 units, Supplier rating: 4.5"
INV00000009,18-11-2024,2024,3,PART000010,Part 10,PC723374,Packaging,Essential component Part 10,SUP0010,Supplier 10,Delhi,India,3.62,WH10,Warehouse 10,Central,Delhi,38521,22470,385,15666,2659,740,36,68.77,1077350.82,32,11-05-2024,INV213466,2988.24,On Order,13-02-2025,Rack-71,08-10-2024,"Stock level: 38521 units, Supplier rating: 3.62"
INV00000010,12-07-2024,2024,1,PART000011,Part 11,PC910874,Raw Material,Essential component Part 11,SUP0011,Supplier 11,Bangalore,India,3.23,WH01,Warehouse 1,North,Bangalore,19101,17366,372,1363,504,10408,40,375.1,511261.3,53,27-02-2024,INV134343,80627.43,Available,13-02-2025,Rack-40,19-05-2024,"Stock level: 19101 units, Supplier rating: 3.23"
INV00000011,17-01-2024,2024,11,PART000012,Part 12,PC193747,Component,Essential component Part 12,SUP0012,Supplier 12,Pune,India,3.6,WH02,Warehouse 2,South,Pune,45893,4785,333,40775,3320,4881,56,899.05,36658763.75,50,11-09-2024,INV886939,87389.28,Low Stock,13-02-2025,Rack-19,10-08-2024,"Stock level: 45893 units, Supplier rating: 3.6"
